Comment,Designator,Footprint,LCSC
PANEL,"J2,J3,J4",CONN-TH_XT60,C98733
Thruster,J5,CONN-TH_MR30-M,C99873
OSD,J9,JST_PH_B6B-PH-K_1x06_P2.00mm_Vertical,
Expansion,J14,JST_PH_B6B-PH-K_1x06_P2.00mm_Vertical,
OSD,J11,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,
16PK4700MEFC12.5X25,C1,CAP_PK&slash_PZ_12P5X25_LOW_RUB,
CAM,J10,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,
RDR,J6,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,
1761426-1,J1,1761426_1,
GPS,J7,JST_PH_B6B-PH-K_1x06_P2.00mm_Vertical,
VTX,J12,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,
TELEM,J8,JST_PH_B6B-PH-K_1x06_P2.00mm_Vertical,
STRB,J13,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,
