Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,16PK4700MEFC12.5X25,CAP_PK&slash_PZ_12P5X25_LOW_RUB,-49.53,19.65325,-90.0,top
J1,1761426-1,1761426_1,0.0,-31.75,0.0,top
J10,CAM,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,43.45,46.0,180.0,top
J11,OSD,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,10.5,29.0,180.0,top
J12,VTX,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,-9.255,28.575,180.0,top
J13,STRB,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,-39.37,15.97,-90.0,top
J14,Expansion,JST_PH_B6B-PH-K_1x06_P2.00mm_Vertical,31.83,-5.715,180.0,top
J2,PANEL,CONN-TH_XT60,-16.51,17.78,-90.0,top
J3,BATT,CONN-TH_XT60,-16.51,-12.7,-90.0,top
J4,LOAD,CONN-TH_XT60,16.51,2.54,-90.0,top
J5,Thruster,CONN-TH_MR30-M,-8.89,-47.315,-90.0,top
J6,RDR,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,8.89,-50.8,0.0,top
J7,GPS,JST_PH_B6B-PH-K_1x06_P2.00mm_Vertical,-45.5,47.0,-90.0,top
J8,TELEM,JST_PH_B6B-PH-K_1x06_P2.00mm_Vertical,-18.0,47.0,90.0,top
J9,OSD,JST_PH_B6B-PH-K_1x06_P2.00mm_Vertical,18.5,47.5,-90.0,top
