Comment,Designator,Footprint,LCSC
BATT,"J2,J3,J4,J5,J8",CONN-TH_XT60,C98733
ESC MTR,J7,CONN-TH_MR30-M,C99873
1761426-1,J1,1761426_1_CardEdge,
MAX3232CUE+T,U2,TSSOP-16_4.4x5mm_P0.65mm,
AO3401A,Q3,SOT-23_Handsoldering,
0.1uF,C3,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
Rudder,J14,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,
Telem2-Teensy,J10,JST_PH_B6B-PH-K_1x06_P2.00mm_Vertical,
Expansion,J15,JST_PH_B6B-PH-K_1x06_P2.00mm_Vertical,
GPS,J12,JST_PH_B6B-PH-K_1x06_P2.00mm_Vertical,
100,R3,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
Teensy4.0,U1,Teensy40,
I2C,J11,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,
0.1uF,C1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
10K,R5,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
Telem1-Radio,J9,JST_PH_B6B-PH-K_1x06_P2.00mm_Vertical,
FDV303N,Q2,SOT-23_Handsoldering,
0.1uF,C5,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
10K,R4,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
855135002,J6,CONN_85513-5002_MOL,
TSR 2-2450,U3,TSR 2-2450_TRP,
SERIAL4/5-OSD,J13,JST_PH_B6B-PH-K_1x06_P2.00mm_Vertical,
0.1uF,C2,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
0.1uF,C4,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
BU2032SM-HD-G,BT1,BAT_BU2032SM-HD-G,
10K,R2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
FDV303N,Q1,SOT-23_Handsoldering,
100,R1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
1k,R6,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
10n,C6,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
