Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BT1,BU2032SM-HD-G,BAT_BU2032SM-HD-G,113.284,-161.544,90.0,bottom
C1,0.1uF,CC0805N_YAG,64.77,-153.67,180.0,top
C2,0.1uF,CC0805N_YAG,64.77,-155.575,180.0,top
C3,0.1uF,CC0805N_YAG,64.77,-151.765,180.0,top
C4,0.1uF,CC0805N_YAG,64.77,-157.48,0.0,top
C5,0.1uF,CC0805N_YAG,73.4695,-150.495,0.0,top
J1,1761426-1,1761426_1_CardEdge,101.50475,-199.39,0.0,top
J10,Telem2-Teensy,JST_PH_B6B-PH-K_1x06_P2.00mm_Vertical,85.17,-135.89,0.0,top
J11,I2C,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,67.135,-135.89,0.0,top
J12,GPS,JST_PH_B6B-PH-K_1x06_P2.00mm_Vertical,69.135,-143.51,0.0,top
J13,SERIAL4/5-OSD,JST_PH_B6B-PH-K_1x06_P2.00mm_Vertical,69.135,-128.27,0.0,top
J14,Rudder,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,97.79,-140.24,-90.0,top
J15,Expansion,JST_PH_B6B-PH-K_1x06_P2.00mm_Vertical,67.23,-192.405,0.0,top
J2,BATT,CONN-TH_XT60,81.28,-114.3,-90.0,top
J3,CC PANEL,CONN-TH_XT60,111.76,-114.3,-90.0,top
J4,CC BATT,CONN-TH_XT60,96.52,-114.3,-90.0,top
J5,CC LOAD,CONN-TH_XT60,65.405,-114.3,-90.0,top
J6,855135002,CONN_85513-5002_MOL,87.032098,-154.305,90.0,top
J7,ESC MTR,CONN-TH_MR30-M,142.24,-113.03,-90.0,top
J8,ESC 12V,CONN-TH_XT60,128.27,-114.3,-90.0,top
J9,TELEM1-Radio,JST_PH_B6B-PH-K_1x06_P2.00mm_Vertical,85.17,-143.51,0.0,top
Q1,FDV303N,SOT-23-3,136.906,-193.006,270.0,bottom
Q2,FDV303N,SOT-23-3,86.233,-189.103,-90.0,top
Q3,AO3401A,SOT-23-3,88.265,-193.355,180.0,top
R1,100,RES0805_CRG_TYCO_TYC,135.89,-188.8363,90.0,bottom
R2,10K,RESC2012X65N,138.43,-188.803,90.0,bottom
R3,100,RES0805_CRG_TYCO_TYC,89.5127,-186.69,90.0,top
R4,10K,RESC2012X65N,91.694,-186.69,90.0,top
R5,10K,RESC2012X65N,92.075,-193.675,-90.0,top
U1,Teensy4.0,Teensy40,82.55,-172.085,0.0,top
U2,MAX3232CUE+T,21-0066-J_16L_MXM,71.12,-154.94,0.0,top
U3,TSR 2-2450,TSR 2-2450_TRP,124.46,-158.961709,-90.0,top
